,index,bio,n_budget,language
95,Практики кураторства в современном искусстве,"Проект ставит перед собой задачу совместного обучения кураторов и координаторов выставок, адаптацию и сближение академических знаний и современных музейных практик.",,RUS
96,Прикладная лингвистика и текстовая аналитика / Applied Linguistics and Text Analytics,"Программа готовит лингвистов - исследователей, экспертов, аналитиков и консультантов, владеющих практическими цифровыми инструментами анализа текстов, которые, в сочетании с лингвистическим анализом, позволяют осуществлять операции с текстами любых объемов на разных языках, успешно решая прикладные задачи в междисциплинарных исследованиях и бизнесе.Выпускники работают в образовательной и научно-исследовательской сферах, государственных и коммерческих структурах, занимаясь вопросами текстовой аналитики, информационной безопасности, консалтинга, рекламы и продвижения.",15,ENG
97,Прикладная лингвистика: обучение иностранному языку и перевод в цифровой среде,45.04.03 Фундаментальная и прикладная лингвистикаИнновационная магистерская программа — совместный проект НИУ ВШЭ и лидеров рынка в области современного перевода и EdTech.— Две специализации на выбор: методика преподавания в цифровой среде и машинный перевод и языковая локализация.— Практика в компаниях-партнерах с перспективами трудоустройства.— Очная магистратура в онлайн-формате позволяет учиться из любой точки мира и совмещать работу и образование.,,RUS+ENG
98,Прикладная политология,"Программа готовит высококвалифицированных специалистов, способных к самостоятельному определению исследовательских и прикладных задач, выработке собственного аналитического инструментария и его использованию в научно-исследовательской и аналитической работе, проектной и практической деятельности.Выпускники могут применить полученные знания в сферах политического и государственного управления, политической экспертизы, консультирования, PR, GR, СМИ.",25,RUS+ENG
99,Прикладная социальная психология,"Магистерская программа с дистанционным обучением, в основу которой заложены структура и набор дисциплин, характерные для магистерских программ по социальной психологии в университетах Европы.  Обучение предусматривает подготовку специалистов в разных областях теоретической и прикладной социальной психологии по двум направлениям: 1) социальная и кросс-культурная психология; 2) экономическая и организационная психология.Выпускники программы востребованы на рынке труда и имеют возможность построения карьеры в прикладной и в академической сферах.",20,RUS+ENG
100,Прикладная электроника и фотоника,"Обучение на программе реализуется совместно с научно-исследовательскими институтами Ростеха, Роскосмоса, Росатома и Российской академии наук. Получаемые знания связаны с исследованиями, разработками и производствами, в которых применяется любое электронное средство, используется любая современная система связи, телекоммуникаций, отображения и обработки информации. Студенты исследуют квантовый вариант вычислений, коммуникаций, сенсоров.Обучение на новой магистерской программе будет проводиться по исследовательской и прикладной траекториям, включающим несколько образовательных специализаций. Основной целью создания программы является подготовка специалистов в области микро- и наноэлектроники, в которой используется квантовая технология.",25,RUS+ENG
101,Прикладные модели искусственного интеллекта,"Образовательная программа ориентирована на подготовку специалистов со степенью  магистра, которые обладают необходимыми знаниями и компетенциями в области создания индустриальных моделей искусственного интеллекта (AI), направленных на решение широкого спектра прикладных задач, разработки, исследования и применения современных комплексных методов и средств создания прикладных моделей на базе технологий искусственного интеллекта.Программа рассчитана на тех абитуриентов, кто уже владеет базовым уровнем машинного обучения, имеет базовую фундаментальную подготовку в области прикладной математики и информатики.",20,RUS+ENG
102,Прикладные нейросетевые технологии,"Первая на факультете компьютерных наук НИУ ВШЭ магистерская программа, реализуемая полностью онлайн.Онлайн-магистратура рассчитана на тех, кто хочет перейти в Data Science или применять классические модели машинного обучения для междисциплинарных проектов в своей сфере. Цель программы — подготовить специалистов по наукам о данных (Data Scientist) и разработчиков машинного обучения (Machine Learning Engineer).",,RUS
103,"Программа двух дипломов НИУ ВШЭ и Университета Кёнхи «Экономика, политика и бизнес в Азии»","(ранее — программа «Экономика, политика и бизнес в Азии»)Практикоориентированная англоязычная магистерская программа двух дипломов ведущих университетов России и Азии. Студент одновременно зачисляется в два университета и выбирает одну из специализаций: «Бизнес в Азии» или «Международные отношения в Азии». Первый и последний семестры программы реализуются в Москве, второй и третий – в университете Кёнхи (Сеул).Выпускник программы получает:Государственный диплом магистра НИУ ВШЭ по направлению «Зарубежное регионоведение».Диплом магистра университета Кёнхи по направлениям «MBA – Asian Business» или «MA - International Relations».Это позволит выпускникам построить свою карьеру, связанную со странами Азии, по широкому кругу специальностей.",,ENG
104,Продуктовый маркетинг и аналитика,"Новая программа. Первый набор в 2026 годуПрограмма нацелена на развитие высококвалифицированных специалистов в области продуктового маркетинга и аналитики, обладающих глубокими знаниями и навыками эффективного взаимодействия между разработчиками, аналитиками, отделами продаж и конечными пользователями. Продакт-маркетологи выступают связующим звеном между техническим персоналом и аналитическими службами, способствуя успешному превращению идей и потребностей бизнеса в востребованные продукты рынка, находя баланс между желаниями клиентов, возможностями технологий и бизнес-задачами.Основная цель программы — сформировать компетенции, необходимые для разработки конкурентоспособных продуктов с большим коммерческим потенциалом. Обучение охватывает весь цикл продуктового подхода: от выявления клиентских предпочтений и сегментирования целевой аудитории до выбора стратегии продвижения, установления оптимальной цены и вывода продукта на рынок. Особое внимание уделяется ИИ и аналитическим методам для принятия обоснованных решений.",,RUS
105,Продюсер в музыкальной индустрии,"Сетевая программа двух дипломов НИУ ВШЭ и РАМ имени Гнесиных Два ведущих вуза соединили творчество и бизнес в одном образовательном продукте: экспертные знания в сфере музыкального менеджмента, медиакоммуникаций и цифровых технологий с глубокими профессиональными компетенциями в области музыковедения.По завершении обучения выпускники получат два диплома квалификации «магистр» НИУ ВШЭ и РАМ имени Гнесиных.",,RUS
106,Продюсер театра и исполнительских искусств,"Сетевая программа двух дипломов НИУ ВШЭ и Российского института театрального искусства — ГИТИС.Программа предлагает углубленное изучение театрального менеджмента, медиапродвижения и интеграции новых технологий в творческие процессы. Выпускники станут востребованными профессионалами, способными эффективно работать в динамичной и трансформирующейся индустрии.По завершении обучения выпускники получат два диплома квалификации «магистр» — НИУ ВШЭ и ГИТИС.",,RUS
107,Проектирование и разработка высоконагруженных информационных систем," (Ранее — программа «Внедрение и оптимизация комплексных информационных систем»)Магистратура готовит специалистов-практиков, которые проводят комплексный анализ состояния ИТ-инфраструктуры предприятия для успешного внедрения и эксплуатации информационных систем. Студенты научатся выделять проблемные места и использовать лучшие практики для оптимизации функционирования аппаратного и программного обеспечения. Большое внимание уделяется современным технологиям разработки программного обеспечения, знание которых необходимо для осмысленного выбора решений и постановки задач на разработку ПО.",,RUS
108,Пространственные данные и прикладная геоаналитика,"Магистерская программа готовит специалистов, владеющих одновременно современными инструментами геоаналитики и науки о пространственных данных, современными проблемами территориального развития и подходами к принятию пространственных решений.Выпускники программы получат широкий круг знаний о ключевых проблемах развития территорий (социальных, экономических, экологических), глубокое понимание сути проблем территориального развития на различных пространственных уровнях, с которыми сталкиваются бизнес, органы власти и институты развития, местные сообщества, а также современных методах и инструментах геоаналитики и пространственного моделирования, применяемых для их решения.",15,RUS
109,Психоанализ и психоаналитическая психотерапия,"Программа направлена на овладение студентами теорией, техникой и практикой психоаналитической психотерапии. Программа объединяет ведущих отечественных и зарубежных специалистов в области психоанализа и психоаналитической психотерапии, различные школы психоанализа, глубинную теоретическую подготовку и интенсивную практику. Открытость, интеграция и единое профессиональное пространство – основные принципы программы.",,RUS
110,Психоанализ и психоаналитическое бизнес-консультирование,"Программа направлена на практическое освоение бизнес-коучинга и охватывает сферы клинической, психоаналитической и организационной психологии.НИУ ВШЭ готовит новое поколение практикоориентированных executive-коучей, командных и групповых консультантов, с  уникальным взглядом на задачи бизнеса.Выпускники направления способны находить и развивать скрытые возможности людей, многоуровневых организаций и эффективно решать бизнес-уравнения любой сложности.",,RUS
111,Психологическое консультирование,"ОНЛАЙН + ОФФЛАЙН. Новая программа. Первый набор в 2026 годуПрограмма готовит высококвалифицированных специалистов в области психологического консультирования и психотерапии, оказывающих профессиональную помощь в в форме индивидуальных и групповых консультаций, психотерапевтических сессий, психологического сопровождения. Особое внимание на программе уделяется формированию знаний и практических навыков, связанных с когнитивно-поведенческой психотерапией.",,RUS
112,Психологическое сопровождение в сфере управления здоровьем и благополучием,"Новая программа. Первый набор в 2026 годуМагистерская программа «Психологическое сопровождение в сфере управления здоровьем и благополучием» направлена на подготовку специалистов в области психологии здоровья. Программа сочетает клинико-психологические основы и развитие навыков психологического консультирования с фокусом на оценку рисков и ресурсов, разработку, реализацию и оценку evidence-based психологических интервенций, а также управление благополучием на индивидуальном, групповом и организационном уровнях.Обучение реализуется в научно-образовательной рамке Института психологии здоровья НИУ ВШЭ – Санкт-Петербург с интеграцией цифровых и ИИ-инструментов.",,RUS
113,Психология в бизнесе,"Единственная в России магистерская программа комплексной подготовки бизнес-психологов – уникальных профессионалов, способных системно помогать руководителям и персоналу компаний создавать, сохранять и развивать бизнес. Практико-ориентированное обучение.Программа создана в партнерстве с бизнес-психологами Великобритании,  прошла международную экспертизу, реализуется в сотрудничестве с ведущими экспертами бизнес-сообщества России и других стран, учитывает изменяющиеся условия бизнеса, новые подходы в психологии. Выпускники востребованы на рынке труда.",,RUS
114,Публичное право,"«Публичное право» – уникальная магистерская программа, в которой соединились современный взгляд на науку, следование высоким академическим традициям и опыт практиков в сфере конституционного, административного, финансового, налогового и медиаправа. Магистерская программа готовит востребованных специалистов в сфере: публичных правоотношений (включая государственную и муниципальную службу), GR, налогового консалтинга и деятельности СМИ.Программа направлена на формирование и развитие прикладных и исследовательских навыков, необходимых для успешной деятельности в качестве депутатов, адвокатов, судей, юристов, связанных с ведением дел по публично-правовым отношениям как внутригосударственного, так и международного уровней, и осуществляющих юридическое сопровождение для бизнеса и органов публичной власти.",22,RUS
115,Религиозная дипломатия в многополярном мире,"Новая программа. Первый набор в 2026 годуПрограмма готовит магистров международных отношений для работы на государственной и муниципальной службе, а также в международных организациях, религиозных объединениях и экспертных центрах, специализирующихся на проектировании и реализации внешнеполитических, миротворческих, гуманитарных и коммуникационных инициатив с учетом религиозного фактора в дипломатии.Ключевая задача – подготовить выпускников к обеспечению эффективного взаимодействия и профессионального диалога между государственными структурами, религиозными институтами и международным сообществом.",15,RUS+ENG
116,Религия и общество,"(Ранее – программа «Философия и история религии»)Программа готовит экспертов в области философии, социологии и истории религии. Ее выпускники готовы проводить фундаментальные исследования в области теоретического и практического религиоведения, а также понимают специфику выстраивания государственно-конфессиональных и межконфессиональных отношений в России и в мире.Программа будет особенно полезна молодым исследователям гуманитарного или социального профиля, которым интересна религия в качестве социально-политического явления. Здесь ждут и тех, кто ориентируется на практическое взаимодействие с религиозными организациями, но хочет получить хорошую академическую подготовку.",,RUS+ENG
117,Русская литература в кросс-культурной и интермедиальной перспективах,"Программа создана для тех, кто интересуется литературой, но опасается узко филологического профиля. Перед выпускниками программы открыты возможности академической карьеры в России и за рубежом, а также трудоустройства на быстро растущем рынке креативного труда – в журналах и издательствах, интернет-проектах, литературных музеях и библиотеках, культурных центрах и центрах современного искусства, на фестивалях и в других отраслях креативных индустрий.",15,RUS+ENG
118,Русский язык как иностранный,"Наш родной язык и русская культура в целом не всегда даются легко даже носителям языка, но когда речь заходит об обучении иностранцев, появляются новые вызовы и проблемы. Иностранным студентам и студенткам необходим супергерой - квалифицированный специалист в области РКИ, готовый объяснить все тонкости русского языка и культуры и сделать их естественными и понятными для всех.На нашей магистерской программе мы готовы обучать не только бакалавров гуманитарной сферы, но и всех желающих стать этим супергероем и преподавать русский язык иностранцам, или, если вы этого захотите, стать профессиональным русистом, учёным или специалистом по межкультурным коммуникациям в международных компаниях. Комплексное глубокое изучение основ русского языка и основных принципов преподавания помогает нам выпускать востребованных специалистов в области РКИ.",21,RUS+ENG
119,Русь и средневековый мир,"(Ранее – программа «Медиевистика»)Мы готовим историков широкого профиля, профессионально разбирающихся в русской средневековой истории. Русь мыслится неотъемлемой частью европейской цивилизации и глобальных исторических процессов, ее история изучается в широкой сравнительной перспективе в междисциплинарном ключе. Предметы классической школы сочетаются с курсами по современным информационным технологиям, предназначенным для перевода исторических данных в электронный формат, их хранения, обработки и анализа.Выпускники программы способны не только заниматься фундаментальной наукой, но и работать в сфере публичной истории, в научно-просветительских проектах и культурном администрировании.",,RUS
120,Системная и программная инженерия,"Создание высококачественного программного обеспечения (ПО) является очень трудоемкой задачей, при решении которой как и реализуемые бизнес-процессы, так и технологии разработки программного обеспечения должны отвечать заданным техническим, экономическим и социальным требованиям. Когда речь заходит о крупных и трудоемких промышленных разработках ПО, то на первый план выходит командная работа по созданию таких систем в рамках осуществляемых проектов. Для программного инженера активное взаимодействие с участниками команды, которая работает над проектом, управление такой командой и понимание всех тонкостей выполняемой работы — ключевые навыки, главные определяющие успеха проекта в целом.Факультет компьютерных наук разработал программу, целью которой является подготовка специалистов в области индустриальной разработки ПО, владеющих навыками командной работы, новыми технологиями и методами управления сложными проектами, в рамках которых создаются большие программные системы и комплексы.",25,RUS+ENG
121,Системная семейная психотерапия,"Программа готовит специалистов в сфере оказания психологической помощи в случаях супружеских конфликтов, нарушениях детско-родительского взаимодействия, эмоционального развития и поведения ребенка, невозможности создать собственную семью. Студенты обучаются  современным методам исследования семейных систем, их структуры, особенностей взаимодействия, а также  методам оценки  эффективности психотерапии. Является единственной российской программой, соответствующей стандартам Тренингового комитета Европейской ассоциации семейных терапевтов (EFTA-TIC).",,RUS
122,Системное программирование,"Наша магистерская программа посвящена изучению важнейших дисциплин системного программирования.У нас вы сможете узнать, на чём базируется современное программное обеспечение, и научиться самостоятельно создавать новейшие средства разработки, анализа и эксплуатации программ – неотъемлемые компоненты современных программных платформ. Именно эти платформы представляют собой основу развития информационных технологий, цифровизации современной экономики и информационно-коммуникационной среды, в которой мы живём.",20,RUS
123,Системный анализ и математические технологии,"Мы предлагаем две траектории обучения: ""Математическое моделирование и машинное обучение"" – с акцентом на крупномасштабное моделирование с использованием методов ML, и ""Математические методы и технологии количественного анализа"" – с акцентом на применении математических методов в задачах финансового сектора.Выпускники программы осваивают спектр новейших математических технологий, включая суперкомпьютерные и квантовые вычисления, что дает конкурентное преимущество нашим выпускникам.",35,RUS+ENG
124,Совместная магистратура НИУ ВШЭ и ЦПМ,"Совместная магистратура НИУ ВШЭ и Центра педагогического мастерства направлена на подготовку высококвалифицированных учителей математики.Программа обучения базируется на интегрировании высокого научного потенциала факультета математики НИУ ВШЭ и практического опыта работы ЦПМ в области школьного образования. Обучение на программе позволяет выпускникам математических факультетов дополнить свою подготовку теми составляющими, которые необходимы для преподавания в школах, а действующим учителям математики усовершенствовать свою математическую подготовку и представления о работе с одаренными детьми.",18,RUS+ENG
125,Современная журналистика,"Магистерская программа «Современная журналистика» ориентируется на изучение актуальных концепций современных медиасистем, а также на непосредственную редакционную практику студентов в российских медиа.Уже с первого курса обучающиеся погружаются в работу редакций, проходят стажировки и отрабатывают востребованные в индустрии навыки.",20,RUS+ENG
126,Современное востоковедение,"(Ранее – программа «Социально-экономическое и политическое развитие современной Азии»)Это - первая открытая в России программа на английском языке по направлению «Востоковедение и африканистика»Данная образовательная программа носит междисциплинарный характер, охватывающий широкий спектр современных исследований Северо-Восточной, Юго-Восточной, Южной Азии и стран Ближнего Востока и Северной Африки, а также отдельных аспектов взаимодействия КНР со странами африканского континента. Обучение предусматривает исследование современных социально-экономических и политических процессов, происходящих в странах Азии и БВСА.Стань магистром востоковедения НИУ ВШЭ!",25,ENG
127,Современное частное право,"Программа направлена на системное и углубленное изучение частного права. Программа охватывает значительное количество ключевых цивилистических дисциплин и предоставляет обучающимся возможность детально исследовать наиболее актуальные проблемы обязательственных, вещных, наследственных, семейных и интеллектуальных прав.В рамках программы большое внимание уделено успешному применению догматических частноправовых конструкций для решения наиболее сложных практических задач.",25,RUS
128,Современные компьютерные науки,"Программа «Современные компьютерные науки» реализуется совместно ФКН ВШЭ и Яндексом. Она сочетает в себе несколько основных направлений компьютерных наук: data science, теоретическая информатика, инфраструктура больших данных. Программа рассчитана на студентов с различным техническим и математическим бэкграундом и даёт возможность стать как исследователем, так и индустриальным специалистом.",38,RUS
129,Современные медиаисследования и аналитика/ Contemporary Media Research,(ранее — программа «Критические медиаисследования»)Программа ориентирована на подготовку специалистов широкого профиля в области исследования средств массовой информации. Основной акцент — на развитие критического подхода к анализу медиапроцессов с использованием прогрессивных практик международных исследовательских университетов.По завершении обучения выпускники получают необходимые компетенции для работы в аналитических компаниях и отделах СМИ.,10,ENG
130,"Современные филологические практики: поэтика, интерпретация, комментарий","Программа готовит специалистов, обладающих разносторонними компетенциями в области реализации различных современных филологических практик интерпретации, комментирования и исследования структуры художественного текста, объединяя возможности академических и прикладных треков. Это позволит выпускникам либо продолжить академическую карьеру, либо работать в издательской сфере, в сфере литературной критики, организации научно-просветительских проектов, создании образовательного цифрового контента.",15,RUS
131,Современный социальный анализ,"Магистерская программа «Современный социальный анализ» ориентирована на самые высокие международные стандарты и является одним из лидеров в области постдипломного социологического образования. Программа делится на два трека: «Социальный анализ молодежи» и «Аналитика социальных данных».Наши выпускники-социологи видят структуру в повседневной жизни, умеют анализировать то, что происходит вокруг, опираясь на научные знания.",25,RUS+ENG
132,Социальное предпринимательство и инновации,"Новая программа. Первый набор в 2026 годуМагистерская программа «Социальное предпринимательство и инновации» готовит специалистов, способных создавать и масштабировать социально ориентированные проекты, совмещающие финансовую устойчивость и измеримый социальный эффект. Программа основана на междисциплинарном подходе, реализуется на английском языке в международном консорциуме и включает проектное обучение с реальными кейсами.Выпускники работают в бизнесе, НКО, консалтинге, госсекторе и запускают собственные социальные предприятия.",10,ENG
133,Социальный анализ рынков на цифровых и опросных данных,"(Ранее – программа «Прикладные методы социального анализа рынков»)Магистерская программа готовит специалистов, понимающих, как устроены современные рынки (потребительские, финансовые, медиа, рынок труда и т.п.), и умеющих их анализировать. Студенты приобретают навыки работы с цифровыми методами сбора и анализа данных, овладевают широким кругом языков программирования (Python, R, SQL), учатся работать не только с опросными, но и с «большими данными», собранными в Интернете путём веб-скрейпинга, а также с текстовыми и визуальными данными.",30,RUS
134,Социология публичной сферы и цифровая аналитика,"Подготовка в рамках программы ведется по двум направлениям – «Социология публичной сферы» и «Цифровая аналитика социальных процессов».Миссия программы – подготовка социологов-аналитиков, способных к артикулированию социально значимых проблем, постановке соответствующих задач и проведению аналитических исследований, а также к осуществлению социологической и социально-гуманитарной экспертизы социально значимых проектов на уровне общества в целом, локальных сообществ и организаций.",30,RUS
