,index,bio,n_budget,language
24,,,,
25,Дизайн,"Образовательная программа магистратуры «Дизайн» реализуется на базе НИУ ВШЭ – Санкт-Петербург совместно со Школой дизайна НИУ ВШЭ. Программа готовит специалистов в области дизайна и брендинга. Особый акцент сделан на работе с культурными институтами, однако навыки и компетенции, приобретенные во время учебы на программе, полезны не только в гуманитарных сферах.Студенты программы во время учебы сотрудничают с Государственным Эрмитажем, Русским Музеем, Манежем и другими музеями города.",7,RUS/ENG
26,Доказательное развитие образования,"Программа для построения карьеры аналитика, исследователя, эксперта в области образования. Студенты учатся проводить эмпирические исследования, принимать обоснованные решения в области образования на основании современных теорий социологии, экономики, психологии, педагогики и философии, участвуют в исследовательских и прикладных проектах. Выпускники работают в экспертно-аналитических и исследовательских центрах, создают собственные образовательные проекты, проектируют и внедряют изменения в образовательной политике.Реализуется в смешанном формате: офлайн-занятия проходят в кампусе ВШЭ в Москве с одновременной трансляцией онлайн.",35,RUS+ENG
27,Инвестиции на финансовых рынках,"Программа ориентирована на подготовку специалистов высокой квалификации в финансовой сфере, способных осуществлять инвестиции на финансовом рынке в условиях нестабильности финансовых рынков, умеющих найти оптимальное соотношение риска и доходности при принятии инвестиционных решений.",,RUS+ENG
28,Инженерия данных,"Магистратура готовит высококлассных специалистов по разработке и обслуживанию систем для работы с данными. Программа включает курсы по ETL-процессам, моделированию и управлению базами данных, Python, Java, MLOps.Онлайн-программа. Диплом магистра по направлению «Программная инженерия».",,RUS
29,Иностранные языки и межкультурная коммуникация,"Магистерская программа ориентирована на фундаментальную профессиональную подготовку выпускников по выбранным специализациям: преподавание иностранных языков, переводоведение и межкультурная коммуникация. Основу программы составляют авторские курсы ведущих российских и зарубежных специалистов по теории и методике преподавания, переводу, лингвистике, филологии и межкультурной коммуникации.Выпускники программы делают карьеру в научно-исследовательской, экспертно-аналитической, педагогической, филологической, межкультурной, редакционно-издательской и организационно-управленческой сферах.",25,RUS/ENG
30,Интегрированные коммуникации,"Программа «Интегрированные коммуникации» — магистратура для будущих руководителей и профессионалов в коммуникационной сфере. Полученные компетенции помогут решать коммуникационные задачи организаций, управлять брендами, создавать комплексные стратегии, опираясь на данные, и работать с репутационными рисками.Студенты программы получают настоящий карьерный рывок благодаря ориентации на практику и актуальные знания, персонализации обучения при помощи выбора образовательных траекторий, курсов по выбору и проектов, поддержке наставников в составлении индивидуального плана развития.",15,RUS+ENG
31,Интеллектуальный анализ данных,"Основная сфера деятельности выпускников магистратуры «Интеллектуальный анализ данных» — это современные исследования и разработки (Research and Development – R&D) в области искусственного интеллекта и компьютерных наук. Магистры получают глубокие фундаментальные и практические знания в таких современных R&D областях компьютерных наук, как анализ данных, большие данные, машинное обучение, компьютерное зрение, глубокое обучение, компьютерная лингвистика, алгоритмы оптимизации.",35,RUS+ENG
32,Интерактивные медиа и цифровые индустрии,"(Ранее – программа «Трансмедийное производство в цифровых индустриях»)За время обучения студенты осваивают компетенции, необходимые для работы креативного продюсера разноформатных проектов: управляют разработкой мобильных приложений, видеоигр, мультимедийных книг, онлайн-курсов, веб-сериалов, управляют сложными трансмедийными проектами. Программа уделяет равное внимание развитию у студентов творческих, технических и предпринимательских навыков. Обучение проходит очно в Москве.",20,RUS+ENG
33,Интернет вещей и киберфизические системы,"Программа комплексной подготовки специалистов, способных использовать потенциал новых технологий Интернета вещей. Реализуется в партнёрстве с российскими и международными компаниями, внедряющими эти технологии: Samsung, IBM, National Instruments, Rightech, InfoWatch, PTC и другими. Студенты получают доступ к современным лабораториям, профессиональному оборудованию и к знаниям напрямую от специалистов индустрии. Выпускники программы востребованы в IT-интеграторах и аналитических центрах, газовых и нефтяных компаниях, банках, государственных организациях, которые заинтересованы в автоматизации и повышении эффективности своей работы.",20,RUS+ENG
34,Информационная безопасность в кредитно-финансовой сфере,"Образовательная программа разработана в партнерстве с Банком России. Кадровый состав образовательной программы включает преподавателей НИУ ВШЭ, специалистов Банка России, участников финансового рынка и других организаций, обеспечивающих реализацию решений в области информационной безопасности. Студенты смогут получить как теоретические знания направлений, принципов, способов и методов обеспечения информационной безопасности в кредитно-финансовой сфере, так и практические навыки защиты информации.",25,RUS
35,Информационная безопасность и технологии искусственного интеллекта,"(Ранее — программа «Информационная безопасность киберфизических систем»)Программа магистратуры направлена на подготовку специалистов по кибербезопасности, профессиональная деятельность которых сосредоточена вокруг систем искусственного интеллекта. Студенты программы изучают методы построения систем искусственного интеллекта, методы анализа данных, методы и средства противодействия киберугрозам с использованием интеллектуальных алгоритмов.Выпускники программы будут способны внедрять передовые технологии в области кибербезопасности, основанные на методах искусственного интеллекта, и участвовать в создании новых технологий.",25,RUS
36,Информационная безопасность систем искусственного интеллекта,"Новая программа. Первый набор в 2026 годуПрограмма «Информационная безопасность систем искусственного интеллекта» готовит архитекторов и инженеров, способных проектировать, развертывать и защищать высоконагруженные AI/ML-системы. Студенты осваивают методы противодействия специализированным угрозам (adversarial-атаки, data poisoning, model extraction) и интегрируют практики безопасности (MLSecOps) на всех этапах жизненного цикла систем искусственного интеллекта.Выпускники становятся востребованными специалистами в области безопасного ИИ для технологических компаний, финансового сектора и других организаций, использующих ИИ-системы.",,RUS
37,Искусственный интеллект,"(Ранее — программа «Машинное обучение и высоконагруженные системы»)Русскоязычная магистерская онлайн-программа для тех, кто хочет получить практический опыт решения задач по машинному обучению и усилить навыки промышленной разработки высоконагруженных систем.Диплом НИУ ВШЭ.",,RUS+ENG
38,Искусственный интеллект в маркетинге и управлении продуктом,"Магистратура готовит высококлассных специалистов, способных применять современные инструменты искусственного интеллекта для решения задач маркетинга и управления продуктом. Программа включает в себя курсы по математической статистике, машинному обучению и искусственному интеллекту, маркетингу и управлением продуктом.Онлайн-программа. Диплом магистра по направлению «Прикладная математика и информатика».",,RUS
39,Искусственный интеллект и компьютерное зрение,"Самые современные и востребованные компетенции в области компьютерного зрения от НИУ ВШЭ и ведущих технологических компаний, формирующих индустрию Computer Vision.Программа «Искусственный интеллект и компьютерное зрение» / Artificial Intelligence and Computer Vision разработана учеными Высшей школы экономики и ведущими экспертами Huawei, SBERLAB, Intel, AIRI, Xperience.ai, участвующими в передовых исследованиях в области компьютерного зрения.",,ENG
40,Искусственный интеллект и продуктовый подход в HR-менеджменте,"Программа реализуется совместно факультетом компьютерных наук ВШЭ и Альфа-Банком.Цель программы - подготовка высококвалифицированных специалистов, способных эффективно применять передовые методы анализа данных и машинного обучения для оптимизации HR-процессов и повышения эффективности управления человеческими ресурсами в современных компаниях.Финансирование со стороны Альфа-Банка покрывает 100% стоимости обучения (26 мест).",,RUS
41,Исследования и предпринимательство в искусственном интеллекте,"Программа «Исследования и предпринимательство в искусственном интеллекте» реализуется совместно факультетом компьютерных наук ВШЭ и компанией МТС.Цель программы - подготовить будущих исследователей в области искусственного интеллекта, способных создавать и внедрять инновационные продукты и технологические решения, используя передовые методы машинного и глубинного обучения, такие как большие языковые модели, генеративные нейросети, а также инструменты компьютерного зрения и распознавания естественного языка.Финансирование со стороны компании МТС покрывает 100% стоимости обучения (30 мест).",,RUS
42,Исторические исследования,"Магистерская программа предоставляет уникальную возможность познакомиться с ведущими исследователями политической и социальной истории, интеллектуальных и экономических процессов в России и зарубежных странах с древнейших времен до XX столетия включительно. Каждый курс учебного плана – это своеобразный метод-тренинг, позволяющий оказаться в лаборатории историка.Магистрантам будут предложены две линейки курсов: первая посвящена истории власти в институциональном измерении – формам господства, иерархии, трансферу и адаптации идей; вторая – новейшим подходам и методологическим приемам: текстологии, истории понятий, количественным методам, digital humanities.",20,RUS
