name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"davenant-salmacida-spolia","eng000302","Q7405376","Davenant","0","Salmacida Spolia","","","https://texts.earlyprint.org/works/A19880.xml","","","","","1639","2","false","0","1","1","eng000302-concord|eng000302-genius","1","1","","","","1","2","1","1","0","0","1","1","1639","2","1","0","0","4307","199","41","0","26"
"davenant-the-cruel-brother","eng000300","","Davenant","0","The Cruel Brother","","Tragedy","https://texts.earlyprint.org/works/A19876.xml","","","","","1627","14","false","0.9633699633699634","0.945054945054945","1.054945054945055","several characters","12.285714285714286","2","","","","13","14","3","11","0","1","1","86","1627","6","","5","0","19255","18308","442","0","2417"
"davenant-the-just-italian","eng000301","","Davenant","0","The Just Italian","","Comedy","https://texts.earlyprint.org/works/A19877.xml","","","","","1629","14","false","1","1","1","several characters","13","1","","","","13","14","4","10","0","0","1","91","1629","5","","5","5","18064","16808","446","201","1987"
"davenant-the-siege-of-rhodes-1-2","eng000593","","Davenant","0","1 & 2 The Siege of Rhodes","","","https://texts.earlyprint.org/works/A37187.xml","","","","","1659","0","false","","","","","","","","","1659","","0","0","0","0","0","","","","12","","5","1","25175","21185","773","143","2666"
"davenant-the-tempest","eng000559","Q7768332","Davenant","0","The Tempest, or The Enchanted Island","","","https://texts.earlyprint.org/works/A59520.xml","","","","","1670","0","false","","","","","","","","","1670","","0","0","0","0","0","","","","5","1","5","0","27533","25166","799","694","1734"
"davenant-the-temple-of-love","eng000070","","Davenant","0","The Temple of Love","","","https://texts.earlyprint.org/works/A04600.xml","","","","","1634","9","false","1","1","1","several characters","8","1","","","","8","9","2","7","0","2","1","36","1634","3","","0","0","3738","1506","8","0","188"
"davenant-the-wits","eng000304","Q7775341","Davenant","0","The Wits","","Comedy","https://texts.earlyprint.org/works/A19883.xml","","","","","1634","13","false","1","1","1","several characters","12","1","","","","12","13","5","8","0","0","1","78","1634","5","1","5","0","24703","23482","564","278","2587"
"davenport-a-new-trick-to-cheat-the-devil","eng000305","Q4658545","Davenport","0","A New Trick to Cheat the Devil","","Comedy","https://texts.earlyprint.org/works/A19888.xml","","","","","1625","18","false","0.8947522521051933","0.7712418300653595","1.2287581699346406","eng000305-bernard|eng000305-john","13.11111111111111","2","","","","17","18","3","15","0","0","1","118","1625","13","1","5","13","22616","22162","474","539","2255"
"day-humor-out-of-breath","eng000306","","Day","0","Humor Out of Breath","","Comedy","https://texts.earlyprint.org/works/A19975.xml","","","","","1607","16","false","0.9607142857142857","0.95","1.05","several characters","14.25","2","","","","15","16","3","13","0","2","1","114","1607","5","","5","0","15524","14779","334","407","898"
"day-law-tricks","eng000308","","Day","0","Law Tricks","","Comedy","https://texts.earlyprint.org/works/A19977.xml","","","","","1604","16","false","0.9142857142857144","0.8","1.2","several characters","12","2","","","","15","16","3","13","0","0","1","96","1604","6","","5","0","17231","16635","251","303","1444"
"day-the-isle-of-gulls","eng000307","Q16848816","Day","0","The Isle of Gulls","","Comedy","https://texts.earlyprint.org/works/A19976.xml","","","","","1606","27","false","0.982042648709315","0.7150997150997151","1.0308880308880308","several characters","18.59259259259259","2","","","","22","27","8","19","0","0","2","251","1606","4","1","3","3","22529","21955","304","912","407"
"day-the-parliament-of-bees","eng000374","Q7756172","Day","0","The Parliament of Bees","","","https://texts.earlyprint.org/works/A37285.xml","","","","","1634","33","false","0.6740740740740742","0.10227272727272728","2.0606060606060606","eng000374-prorex|eng000374-oberon","3.272727272727273","4","","","","10","33","3","22","8","0","7","54","1634","12","1","0","0","11038","9641","63","2","1308"
"day-wilkins-rowley-the-travels-of-the-three-english-brothers","eng000309","Q7770026","Day","2","The Travels of the Three English Brothers","","Comedy","https://texts.earlyprint.org/works/A19978.xml","","","","","1607","39","false","0.8975864079873995","0.5222672064777328","1.4777327935222673","eng000309-robert","19.846153846153847","2","","","","38","39","2","37","0","5","1","387","1607","5","2","5","0","17576","16315","592","297","1673"
"dekker-blurt-master-constable","eng000157","Q4930804","Dekker","0","Blurt, Master Constable","","Comedy","https://texts.earlyprint.org/works/A07492.xml","","","","","1601","28","false","1","1","1","several characters","27","1","","","","27","28","9","19","0","2","1","378","1601","1","1","0","0","18400","18318","483","276","907"
