name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"gould-the-rival-sisters","eng000671","","Gould","0","The Rival Sisters, or The Violence of Love","","","https://texts.earlyprint.org/works/A41700.xml","","","","","1695","0","false","","","","","","","","","1695","","0","0","0","0","0","","","","5","","5","0","23011","21276","575","284","2017"
"granville-heroic-love","eng000676","","Granville","0","Heroic Love","","","https://texts.earlyprint.org/works/A49572.xml","","","","","1698","0","false","","","","","","","","","1698","","0","0","0","0","0","","","","5","","5","0","21822","18556","435","0","2263"
"granville-the-she-gallants","eng000513","Q107608628","Granville","0","The She Gallants","","","https://texts.earlyprint.org/works/A49573.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","5","1","5","0","24027","22248","867","840","46"
"greene-alphonsus-king-of-aragon","eng000034","Q12898675","Greene","0","Alphonsus, King of Aragon","","Comedy","https://texts.earlyprint.org/works/A02091.xml","","","","","1587","23","false","0.9281593057336764","0.8260869565217391","1.173913043478261","several characters","18.17391304347826","2","","","","22","23","8","15","0","0","1","209","1587","3","1","3","0","11891","10670","681","0","1331"
"greene-friar-bacon-and-friar-bongay","eng000036","","Greene","0","Friar Bacon and Friar Bongay","","Comedy","https://texts.earlyprint.org/works/A02128.xml","","","","","1586","33","false","1","1","1","several characters","32","1","","","","32","33","4","29","0","0","1","528","1586","1","","0","0","17616","16895","525","138","1709"
"greene-george-a-green-the-pinner-of-wakefield","eng000033","","Greene","0","George a Green, the Pinner of Wakefield","","Comedy","https://texts.earlyprint.org/works/A02070.xml","","","","","1587","25","false","1","1","1","several characters","24","1","","","","24","25","4","20","1","0","1","300","1587","1","","0","0","8772","8405","350","1","1042"
"greene-orlando-furioso","eng000035","Q81313535","Greene","0","Orlando Furioso","","","https://texts.earlyprint.org/works/A02125.xml","","","","","1591","21","false","1","1","1","several characters","20","1","","","","20","21","2","19","0","1","1","210","1591","1","0","0","0","11634","11140","415","149","1199"
"greene-selimus-1","eng000410","","Greene","0","1 Selimus","","Tragedy","https://texts.earlyprint.org/works/A68114.xml","","","","","1591","27","false","1","1","1","several characters","26","1","","","","26","27","3","24","0","1","1","351","1591","1","","0","0","19394","18916","613","14","2371"
"greene-the-scottish-history-of-james-the-fourth","eng000037","","Greene","0","The Scottish History of James the Fourth","","","https://texts.earlyprint.org/works/A02168.xml","","","","","1590","34","false","1","1","1","several characters","33","1","","","","33","34","5","29","0","1","1","561","1590","10","","5","0","21689","20942","749","124","2087"
"greville-alaham","eng000038","","Greville","0","Alaham","","Tragedy","https://texts.earlyprint.org/works/A02226_04.xml","","","","","1600","19","false","0.6303258145363408","0.23391812865497075","2.2865497076023393","eng000038-caine","4.2105263157894735","4","","","","9","19","0","0","0","0","1","40","1600","21","","5","18","22425","18969","9","0","2325"
"greville-mustapha","eng000039","","Greville","0","Mustapha","","Tragedy","https://texts.earlyprint.org/works/A02227.xml","","","","","1596","12","false","0.625","0.2727272727272727","1.6666666666666667","eng000039-rossa","3","3","","","","6","12","1","9","2","3","2","18","1596","16","","5","16","13981","13043","22","0","1631"
"grotius-christ-s-passion","eng000626","","Grotius","0","Christ's Passion","","Tragedy","https://texts.earlyprint.org/works/A02262.xml","","","","","1640","16","false","0.9006944444444445","0.30833333333333335","1.5972222222222223","eng000626-chorus","4.625","3","","","","9","16","0","0","0","0","2","37","1640","5","","10","0","22773","12675","33","0","1694"
"guarini-il-pastor-fido-1602","eng000731","","Guarini","0","Il Pastor Fido, or The Faithful Shepherd","","","https://texts.earlyprint.org/works/A02284.xml","","","","","1602","0","false","","","","","","","","","1602","","0","0","0","0","0","","","","40","","5","39","38054","37350","127","0","4605"
"guarini-il-pastor-fido-1647","eng000746","Q477990","Guarini","0","Il Pastor Fido","","","https://texts.earlyprint.org/works/A42281.xml","","","","","1647","0","false","","","","","","","","","1647","","0","0","0","0","0","","","","39","4","5","39","49423","42731","107","0","5484"
"habington-the-queen-of-aragon","eng000040","","Habington","0","The Queen of Aragon","","Tragicomedy","https://texts.earlyprint.org/works/A02455.xml","","","","","1640","16","false","0.938919413919414","0.9083333333333333","1.0916666666666666","several characters","13.625","2","","","","15","16","3","13","0","0","1","109","1640","5","","5","5","18892","17692","286","158","2312"
"harding-sicily-and-naples","eng000041","","Harding","0","Sicily and Naples","","Tragedy","https://texts.earlyprint.org/works/A02629.xml","","","","","1640","23","false","0.849052170888892","0.6324110671936759","1.316017316017316","eng000041-ursini","13.91304347826087","3","","","","20","23","5","18","0","1","2","160","1640","28","","5","28","24460","21132","685","551","1892"
"harris-the-city-bride","eng000507","","Harris","0","The City Bride, or The Merry Cuckold","","","https://texts.earlyprint.org/works/A45649.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","9","","5","6","21790","19606","688","741","259"
"harris-the-mistakes","eng000748","","Harris","0","The Mistakes, or The False Report","","","https://texts.earlyprint.org/works/A45651.xml","","","","","1691","0","false","","","","","","","","","1691","","0","0","0","0","0","","","","11","","5","11","31103","28478","748","146","2745"
"haughton-englishmen-for-my-money","eng000042","Q5378708","Haughton","0","Englishmen for My Money","","Comedy","https://texts.earlyprint.org/works/A02800.xml","","","","","1598","21","false","1","1","1","several characters","20","1","","","","20","21","3","18","0","1","1","210","1598","1","2","0","0","23103","22720","360","444","1654"
"hausted-the-rival-friends","eng000426","","Hausted","0","The Rival Friends","","Comedy","https://texts.earlyprint.org/works/A72254.xml","","","","","1632","39","false","0.883109239811246","0.407557354925776","1.5339652448657188","eng000426-anteros","15.487179487179487","3","","","","34","42","10","32","0","1","2","302","1632","50","","5","49","37788","32912","1088","408","3101"
"hawkins-apollo-shroving","eng000043","","Hawkins","0","Apollo Shroving","","Comedy","https://texts.earlyprint.org/works/A02827.xml","","","","","1627","23","false","0.7653726708074534","0.4624505928853755","1.9130434782608696","eng000043-implement","10.173913043478262","5","","","","16","23","6","17","0","0","1","117","1627","30","","5","29","25324","24149","199","904","315"
"haynes-a-fatal-mistake","eng000672","","Haynes","0","A Fatal Mistake, or The Plot Spoiled","","","https://texts.earlyprint.org/works/A43729.xml","","","","","1692","0","false","","","","","","","","","1692","","0","0","0","0","0","","","","5","","5","5","17729","16385","1012","12","1912"
"heywood-a-challenge-for-beauty","eng000045","","Heywood","0","A Challenge for Beauty","","Comedy","https://texts.earlyprint.org/works/A03190.xml","","","","","1635","19","false","0.9067620030468329","0.8362573099415205","1.1637426900584795","several characters","15.052631578947368","2","","","","18","19","6","12","1","1","1","143","1635","5","","5","0","19561","18581","293","290","1720"
"heywood-a-maidenhead-well-lost","eng000437","Q4658031","Heywood","0","A Maidenhead Well Lost","","","https://texts.earlyprint.org/works/A03240.xml","","","","","1634","0","false","","","","","","","","","1634","","0","0","0","0","0","","","","5","1","5","0","15382","14184","566","42","1732"
"heywood-a-woman-killed-with-kindness","eng000061","Q3549497","Heywood","0","A Woman Killed with Kindness","","Tragedy","https://texts.earlyprint.org/works/A03256.xml","","","","","1603","25","false","1","1","1","several characters","24","1","","","","24","25","3","22","0","0","1","300","1603","1","5","0","0","17363","16764","492","21","1921"
"heywood-brome-the-late-lancashire-witches","eng000062","Q7746289","Heywood","1","The Late Lancashire Witches","","Comedy","https://texts.earlyprint.org/works/A03258.xml","","","","","1634","27","false","0.9390350161137315","0.9031339031339032","1.0968660968660968","several characters","23.48148148148148","2","","","","26","27","11","15","1","3","1","317","1634","5","1","0","0","23845","22950","624","796","964"
"heywood-edward-the-fourth-1","eng000056","","Heywood","0","1 Edward the Fourth","","","https://texts.earlyprint.org/works/A03224.xml","","","","","1599","80","false","0.9382018825056798","0.6556962025316456","1.3443037974683545","several characters","51.8","2","","","","79","80","5","76","1","2","1","2072","1599","2","","0","0","50369","48713","1825","208","5147"
"heywood-how-a-man-may-choose-a-good-wife-from-a-bad","eng000288","","Heywood","0","How a Man May Choose a Good Wife from a Bad","","Comedy","https://texts.earlyprint.org/works/A19183.xml","","","","","1601","18","false","1","1","1","several characters","17","1","","","","17","18","4","13","1","0","1","153","1601","1","","0","0","22962","22528","365","47","2454"
"heywood-if-you-know-not-me-you-know-nobody-1","eng000052","Q5990937","Heywood","0","1 If You Know Not Me You Know Nobody","","","https://texts.earlyprint.org/works/A03208.xml","","","","","1604","37","false","1","1","1","several characters","36","1","","","","36","37","3","35","0","1","1","666","1604","1","2","0","0","12939","12211","921","6","1430"
"heywood-if-you-know-not-me-you-know-nobody-2","eng000053","","Heywood","0","2 If You Know Not Me You Know Nobody","","","https://texts.earlyprint.org/works/A03217.xml","","","","","1605","40","false","1","1","1","several characters","39","1","","","","39","40","4","36","0","3","1","780","1605","1","","1","0","23457","23386","451","142","2098"
"heywood-love-s-mistress","eng000057","","Heywood","0","Love's Mistress, or The Queen's Masque","","","https://texts.earlyprint.org/works/A03235.xml","","","","","1634","17","false","0.9341736694677871","0.8088235294117647","1.1911764705882353","eng000057-psiche|eng000057-cupid","12.941176470588236","2","","","","16","17","5","11","3","0","1","110","1634","6","","2","5","8887","7375","233","90","755"
"heywood-rowley-fortune-by-land-and-sea","eng000378","Q5472891","Heywood","1","Fortune by Land and Sea","","Comedy","https://texts.earlyprint.org/works/A43595.xml","","","","","1609","27","false","0.89504988819507","0.7037037037037037","1.2962962962962963","eng000378-goodwin|eng000378-foster","18.296296296296298","2","","","","26","27","3","25","0","0","1","247","1609","9","1","6","9","19685","19204","446","755","166"
"heywood-the-brazen-age","eng000044","","Heywood","0","The Brazen Age","","Tragicomedy","https://texts.earlyprint.org/works/A03189.xml","","","","","1611","49","false","0.9887103777681285","0.9336734693877551","1.066326530612245","several characters","44.816326530612244","2","","","","48","49","12","37","0","0","1","1098","1611","2","","0","0","22587","20872","1014","6","2615"
"heywood-the-english-traveller","eng000046","","Heywood","0","The English Traveller","","Comedy","https://texts.earlyprint.org/works/A03195.xml","","","","","1627","25","false","0.8970237373640255","0.7933333333333333","1.2066666666666668","several characters","19.04","2","","","","24","25","7","18","0","0","1","238","1627","6","","5","6","23763","22585","449","74","2647"
"heywood-the-fair-maid-of-the-exchange","eng000047","Q7733097","Heywood","0","The Fair Maid of the Exchange","","Comedy","https://texts.earlyprint.org/works/A03197.xml","","","","","1602","22","false","1","1","1","several characters","21","1","","","","21","22","4","18","0","0","1","231","1602","1","1","0","0","22501","21966","399","142","2205"
"heywood-the-fair-maid-of-the-west-1","eng000048","","Heywood","0","1 The Fair Maid of the West","","Comedy","https://texts.earlyprint.org/works/A03201_01.xml","","","","","1597","29","false","0.848878370912942","0.5738916256157636","1.4261083743842364","eng000048-goodlack|eng000048-bess","16.06896551724138","2","","","","28","29","2","27","0","0","1","233","1597","5","","5","0","17045","16320","424","475","1416"
"heywood-the-fair-maid-of-the-west-2","eng000049","","Heywood","0","2 The Fair Maid of the West","","Comedy","https://texts.earlyprint.org/works/A03201_02.xml","","","","","1631","22","false","0.873676804791356","0.7229437229437229","1.277056277056277","several characters","15.181818181818182","2","","","","21","22","2","20","0","1","1","167","1631","5","","5","0","21920","21205","306","476","2075"
"heywood-the-four-prentices-of-london","eng000050","Q7735031","Heywood","0","The Four Prentices of London","","Tragicomedy","https://texts.earlyprint.org/works/A03202.xml","","","","","1594","21","false","1","1","1","several characters","20","1","","","","20","21","2","19","0","2","1","210","1594","1","1","0","0","24277","22726","958","328","2305"
"heywood-the-golden-age","eng000051","","Heywood","0","The Golden Age, or The Lives of Jupiter and Saturn","","Tragicomedy","https://texts.earlyprint.org/works/A03205.xml","","","","","1610","31","false","0.8588209789333546","0.5978494623655914","1.4021505376344086","eng000051-homer|eng000051-jupiter","17.93548387096774","2","","","","28","31","12","19","0","0","1","278","1610","5","","0","0","20324","19954","1015","58","2151"
"heywood-the-iron-age-1","eng000054","","Heywood","0","1 The Iron Age","","Tragicomedy","https://texts.earlyprint.org/works/A03223_01.xml","","","","","1612","33","false","0.8940391912243597","0.7234848484848485","1.2765151515151516","eng000054-thersites|eng000054-menelaus|eng000054-diomede","23.151515151515152","2","","","","32","33","0","0","0","0","1","382","1612","6","","5","0","20943","19104","972","7","2464"
"heywood-the-iron-age-2","eng000055","","Heywood","0","2 The Iron Age","","Tragicomedy","https://texts.earlyprint.org/works/A03223_02.xml","","","","","1612","39","false","0.8824892357400095","0.582995951417004","1.417004048582996","several characters","22.153846153846153","2","","","","38","39","12","27","0","2","1","432","1612","5","","5","0","19205","17689","877","0","2408"
"heywood-the-rape-of-lucrece","eng000058","","Heywood","0","The Rape of Lucrece","","Tragedy","https://texts.earlyprint.org/works/A03244.xml","","","","","1606","20","false","1","1","1","several characters","19","1","","","","19","20","3","17","0","0","1","190","1606","1","","0","0","21691","20760","605","141","2018"
"heywood-the-royal-king-and-the-loyal-subject","eng000059","","Heywood","0","The Royal King and the Loyal Subject","","Tragicomedy","https://texts.earlyprint.org/works/A03248.xml","","","","","1602","28","false","0.9059467926646744","0.8306878306878307","1.1693121693121693","several characters","22.428571428571427","2","","","","27","28","7","21","0","0","1","314","1602","5","","5","2","21485","20523","504","232","1889"
"heywood-the-wise-woman-of-hogsdon","eng000060","","Heywood","0","The Wise Woman of Hogsdon","","Comedy","https://texts.earlyprint.org/works/A03255.xml","","","","","1604","20","false","0.8931549461890018","0.8052631578947368","1.194736842105263","several characters","15.3","2","","","","19","20","7","13","0","0","1","153","1604","6","","5","6","20010","19476","535","705","732"
"higden-the-wary-widow","eng000502","","Higden","0","The Wary Widow, or Sir Noisy Parrot","","","https://texts.earlyprint.org/works/A43744.xml","","","","","1693","0","false","","","","","","","","","1693","","0","0","0","0","0","","","","5","","5","0","30193","25241","947","453","482"
"holiday-technogamia","eng000065","","Holiday","0","Technogamia, or The Marriages of the Arts","","Comedy","https://texts.earlyprint.org/works/A03496.xml","","","","","1618","28","false","0.9811904761904761","0.8121693121693122","1.1957671957671958","several characters","21.928571428571427","3","","","","25","28","7","18","0","0","1","307","1618","36","","8","36","36086","33996","1164","1150","405"
"howard-all-mistaken","eng000504","","Howard","0","All Mistaken, or The Mad Couple","","","https://texts.earlyprint.org/works/A44632.xml","","","","","1672","0","false","","","","","","","","","1672","","0","0","0","0","0","","","","5","","5","0","17310","16872","499","297","1953"
"howard-the-english-monsieur","eng000505","","Howard","0","The English Monsieur","","","https://texts.earlyprint.org/works/A44633.xml","","","","","1674","0","false","","","","","","","","","1674","","0","0","0","0","0","","","","12","","5","12","21660","20476","990","980","2"
"howard-the-man-of-newmarket","eng000596","Q108003923","Howard","0","The Man of Newmarket","","","https://texts.earlyprint.org/works/A44624.xml","","","","","1678","0","false","","","","","","","","","1678","","0","0","0","0","0","","","","5","1","5","0","23477","22297","686","1247","34"
"howard-the-six-days-adventure","eng000503","","Howard","0","The Six Days' Adventure, or The New Utopia","","","https://texts.earlyprint.org/works/A44628.xml","","","","","1671","0","false","","","","","","","","","1671","","0","0","0","0","0","","","","5","","5","0","32899","26912","857","1626","22"
"howard-the-usurper","eng000674","","Howard","0","The Usurper","","","https://texts.earlyprint.org/works/A44629.xml","","","","","1668","0","false","","","","","","","","","1668","","0","0","0","0","0","","","","5","","5","1","23292","21218","844","3","2679"
"howard-the-women-s-conquest","eng000747","Q107608614","Howard","0","The Women's Conquest","","","https://texts.earlyprint.org/works/A44630.xml","","","","","1671","0","false","","","","","","","","","1671","","0","0","0","0","0","","","","6","1","5","0","30480","22382","855","0","2798"
"hughes-the-misfortunes-of-arthur","eng000066","Q7751711","Hughes","0","The Misfortunes of Arthur","","","https://texts.earlyprint.org/works/A03804.xml","","","","","1587","20","false","0.6715476190476191","0.24736842105263157","2.192982456140351","eng000066-arthur","4.7","4","","","","10","20","3","17","0","1","2","47","1587","17","2","5","17","21669","15487","112","110","1738"
"hurtado-de-mendoza-to-love-only-for-love-s-sake","eng000506","","Hurtado de Mendoza","0","To Love Only for Love's Sake","","","https://texts.earlyprint.org/works/A45225.xml","","","","","1671","0","false","","","","","","","","","1671","","0","0","0","0","0","","","","4","","3","0","49394","39205","2019","0","5407"
"jevon-the-devil-of-a-wife","eng000508","","Jevon","0","The Devil of a Wife, or A Comical Transformation","","","https://texts.earlyprint.org/works/A46869.xml","","","","","1686","0","false","","","","","","","","","1686","","0","0","0","0","0","","","","4","","3","1","18694","16062","1161","685","93"
"jones-adrasta","eng000071","","Jones","0","Adrasta","","Tragicomedy","https://texts.earlyprint.org/works/A04604.xml","","","","","1635","28","false","0.8790940231216514","0.6957671957671958","1.3042328042328042","eng000071-antonio|eng000071-lucilio","18.785714285714285","2","","","","27","30","11","19","0","1","1","263","1635","5","","5","5","26408","24494","1005","385","1751"
"jonson-bartholomew-fair","eng000080","Q1243205","Jonson","0","Bartholomew Fair","","Comedy","https://texts.earlyprint.org/works/A04633_01.xml","","","","","1614","42","false","0.8515915699818327","0.47619047619047616","1.456989247311828","eng000080-knockem|eng000080-edgeworth","19.523809523809526","3","","","","36","42","9","32","0","0","2","410","1614","31","4","5","30","39889","39050","290","1483","148"
"jonson-catiline-his-conspiracy","eng000078","Q5053538","Jonson","0","Catiline His Conspiracy","","Tragedy","https://texts.earlyprint.org/works/A04632_09.xml","","","","","1611","41","false","0.7438971836206291","0.3","1.7183499288762447","eng000078-catiline","12","4","","","","30","41","4","35","0","4","4","246","1611","38","3","5","34","30870","30393","266","0","3972"
"jonson-chloridia","eng000084","Q5102941","Jonson","0","Chloridia","","","https://texts.earlyprint.org/works/A04644.xml","","","","","1631","13","false","0.9102564102564104","0.8589743589743589","1.141025641025641","eng000084-spring","10.307692307692308","2","","","","12","13","9","2","2","3","1","67","1631","6","1","0","0","2394","1282","59","1","122"
"jonson-cynthia-s-revels","eng000073","Q5200006","Jonson","0","Cynthia's Revels","","Comedy","https://texts.earlyprint.org/works/A04632_03.xml","","","","","1600","33","false","0.882937683273305","0.5018939393939394","1.3567961165048543","eng000073-mercury|eng000073-amorphus","16.060606060606062","2","","","","28","33","9","24","0","1","2","265","1600","32","3","5","31","36643","35602","314","1258","859"
"jonson-epicoene-or-the-silent-woman-A04632_07","eng000439","Q549927","Jonson","0","Epicoene or The Silent Woman","","Comedy","https://texts.earlyprint.org/works/A04632_07.xml","","","","","1609","0","false","","","","","","","","","","","0","0","0","0","0","","","1609","28","8","5","28","31717","30603","393","1413","40"
"jonson-epicoene-or-the-silent-woman-A04645","eng000085","Q549927","Jonson","0","Epicoene or The Silent Woman","","","https://texts.earlyprint.org/works/A04645.xml","","","","","1609","18","false","0.842083842083842","0.6405228758169934","1.2941176470588236","eng000085-morose","10.88888888888889","3","","","","15","18","6","12","0","0","2","98","1609","25","8","5","24","28630","27654","370","1287","32"
"jonson-every-man-in-his-humour","eng000072","Q5417547","Jonson","0","Every Man in His Humour","","Comedy","https://texts.earlyprint.org/works/A04632_01.xml","","","","","1598","18","false","0.8794019252352586","0.7777777777777778","1.2287581699346406","several characters","13.222222222222221","3","","","","16","18","3","15","0","0","1","119","1598","33","6","5","34","29188","28220","393","854","862"
"jonson-every-man-out-of-his-humor","eng000438","","Jonson","0","Every Man out of his Humor","","Comedy","https://texts.earlyprint.org/works/A04632_02.xml","","","","","1599","0","false","","","","","","","","","","","0","0","0","0","0","","","1599","38","","5","37","41288","39262","444","1457","743"
"jonson-every-man-out-of-his-humour","eng000086","Q690716","Jonson","0","Every Man Out of His Humour","","Comedy","https://texts.earlyprint.org/works/A04648.xml","","","","","1599","36","false","1","1","1","several characters","35","1","","","","35","36","3","32","1","2","1","630","1599","18","3","5","16","41815","38883","767","1465","730"
"jonson-hymenaei","eng000088","Q5956420","Jonson","0","Hymenaei","","","https://texts.earlyprint.org/works/A04654.xml","","","","","1606","5","false","1","1","1","several characters","4","1","","","","4","5","3","2","0","0","1","10","1606","1","1","0","0","10457","4629","0","0","424"
"jonson-love-s-triumph-through-callipolis","eng000089","Q6690021","Jonson","0","Love's Triumph Through Callipolis","","","https://texts.earlyprint.org/works/A04655.xml","","","","","1631","10","false","1","1","1","several characters","9","1","","","","9","10","3","7","0","2","1","45","1631","1","1","0","0","1702","542","294","0","77"
"jonson-neptune-s-triumph-for-the-return-of-albion","eng000090","Q6995612","Jonson","0","Neptune's Triumph for the Return of Albion","","","https://texts.earlyprint.org/works/A04656.xml","","","","","1624","9","false","1","1","1","several characters","8","1","","","","8","9","0","9","0","1","1","36","1624","1","1","0","0","2574","2332","4","4","303"
"jonson-poetaster","eng000074","Q16354838","Jonson","0","Poetaster","","Comedy","https://texts.earlyprint.org/works/A04632_04.xml","","","","","1601","34","false","0.7835228408146317","0.40641711229946526","1.6003787878787878","eng000074-crispinus","13.411764705882353","3","","","","29","37","6","30","1","1","2","228","1601","23","3","5","22","30968","30112","298","737","1528"
"jonson-sejanus-his-fall","eng000075","Q11036237","Jonson","0","Sejanus His Fall","","Tragedy","https://texts.earlyprint.org/works/A04632_05.xml","","","","","1604","42","false","0.7770126690136834","0.34146341463414637","1.7479674796747968","eng000075-sejanus","14","3","","","","32","42","3","39","0","1","1","294","1604","56","4","5","0","27664","26548","216","0","3621"
"jonson-the-alchemist","eng000077","Q647411","Jonson","0","The Alchemist","","Comedy","https://texts.earlyprint.org/works/A04632_08.xml","","","","","1610","19","false","0.8687119897646213","0.6549707602339181","1.3801169590643274","eng000077-lovewit","11.789473684210526","3","","","","16","19","1","18","0","0","1","112","1610","27","8","5","25","29648","29039","285","2","4001"
"jonson-the-case-is-altered","eng000082","Q7721496","Jonson","0","The Case Is Altered","","Comedy","https://texts.earlyprint.org/works/A04638.xml","","","","","1597","24","false","0.8865183792815371","0.7101449275362319","1.3007246376811594","several characters","16.333333333333332","3","","","","21","24","3","21","0","0","1","196","1597","18","2","4","18","19495","18622","489","723","1109"
"jonson-the-characters-of-two-royal-masques","eng000083","","Jonson","0","The Characters of Two Royal Masques","","","https://texts.earlyprint.org/works/A04643.xml","","","","","1605","6","false","1","0.4","1","several characters","2","1","","","","2","6","1","5","0","0","2","6","1605","2","","0","0","7502","2943","29","2","310"
"jonson-the-devil-is-an-ass","eng000379","Q769281","Jonson","0","The Devil Is an Ass","","Comedy","https://texts.earlyprint.org/works/A46228.xml","","","","","1616","25","false","0.8794032895209366","0.43333333333333335","1.74","eng000379-fitzdottrell|eng000379-meerecraft","10.4","4","","","","18","25","4","21","0","0","1","130","1616","36","3","5","36","30182","27640","204","0","3502"
"jonson-the-entertainment-of-the-queen-and-prince-at-althorp","eng000079","","Jonson","0","The Entertainment of the Queen and Prince at Althorp (The Satyr)","","","https://texts.earlyprint.org/works/A04632_13.xml","","","","","1604","11","false","1","1","1","several characters","10","1","","","","10","11","5","6","0","1","1","55","1604","3","","0","0","5724","4411","774","5","472"
"jonson-the-fortunate-isles-and-their-union","eng000087","Q7734890","Jonson","0","The Fortunate Isles and Their Union","","","https://texts.earlyprint.org/works/A04652.xml","","","","","1625","8","false","1","1","1","several characters","7","1","","","","7","8","0","8","0","1","1","28","1625","2","1","0","0","3597","3186","306","0","457"
"jonson-the-new-inn","eng000091","","Jonson","0","The New Inn, or The Light Heart","","Comedy","https://texts.earlyprint.org/works/A04658.xml","","","","","1629","23","false","0.8324298568274877","0.5889328063241107","1.4426877470355732","eng000091-fly","12.956521739130435","3","","","","21","23","5","18","0","0","1","149","1629","23","","23","23","26527","22149","172","2","2965"
"jonson-the-staple-of-news","eng000081","Q668812","Jonson","0","The Staple of News","","Comedy","https://texts.earlyprint.org/works/A04633_03.xml","","","","","1614","40","false","0.8507807684486078","0.3923076923076923","1.5880503144654088","eng000081-peni-boy-jr","15.3","4","","","","32","42","11","28","3","1","2","306","1614","30","3","5","25","29472","28187","213","624","2723"
"jonson-volpone","eng000076","Q1189332","Jonson","0","Volpone","","Comedy","https://texts.earlyprint.org/works/A04632_06.xml","","","","","1605","25","false","0.8691009575220101","0.43666666666666665","1.7366666666666666","eng000076-volpone","10.48","4","","","","20","25","3","21","1","1","1","131","1605","39","16","5","39","30978","28349","289","27","3650"
"killigrew-claricilla","eng000383","Q5126946","Killigrew","0","Claricilla","","Tragicomedy","https://texts.earlyprint.org/works/A47372_10.xml","","","","","1636","18","false","0.83993228993229","0.5032679738562091","1.5098039215686274","eng000383-seleucus|eng000383-melintus","8.555555555555555","3","","","","15","18","2","16","0","0","1","77","1636","28","1","5","28","21722","20809","893","564","2"
"killigrew-the-conspiracy","eng000092","","Killigrew","0","The Conspiracy","","Tragedy","https://texts.earlyprint.org/works/A04824.xml","","","","","1635","45","false","0.8736209252672477","0.5434343434343434","1.3773148148148149","several characters","23.91111111111111","2","","","","41","45","9","33","3","3","2","538","1635","6","","5","0","34096","32154","1355","742","869"
"killigrew-the-imperial-tragedy","eng000675","","Killigrew","0","The Imperial Tragedy","","","https://texts.earlyprint.org/works/A47382.xml","","","","","1669","0","false","","","","","","","","","1669","","0","0","0","0","0","","","","5","","5","0","18075","16487","1450","254","1730"
"killigrew-the-parson-s-wedding","eng000382","Q7756182","Killigrew","0","The Parson's Wedding","","Comedy","https://texts.earlyprint.org/works/A47372_02.xml","","","","","1641","23","false","0.807623002474261","0.5612648221343873","1.4861660079051384","several characters","12.347826086956522","3","","","","20","23","8","15","0","1","1","142","1641","26","1","5","26","42578","41481","1318","1556","4"
"killigrew-the-princess","eng000381","Q7758282","Killigrew","0","The Princess","","Tragicomedy","https://texts.earlyprint.org/works/A47372_01.xml","","","","","1636","26","false","0.8141218661997419","0.5230769230769231","1.5138461538461538","eng000381-cicilia","13.076923076923077","3","","","","22","26","4","22","0","1","1","170","1636","34","1","5","33","30011","29040","1460","1163","54"
"killigrew-the-prisoners","eng000384","Q7758395","Killigrew","0","The Prisoners","","Tragicomedy","https://texts.earlyprint.org/works/A47372_11.xml","","","","","1635","25","false","0.821093357966423","0.39","1.6833333333333333","eng000384-leucanthe","9.36","3","","","","19","25","4","20","1","1","1","117","1635","22","1","5","22","15952","14917","831","435","0"
"kirke-the-seven-champions-of-christendom","eng000093","","Kirke","0","The Seven Champions of Christendom","","","https://texts.earlyprint.org/works/A04874.xml","","","","","1634","39","false","0.9016042963877334","0.3738191632928475","1.8232118758434548","eng000093-andrew|eng000093-anthony","14.205128205128204","3","","","","28","39","7","30","2","5","1","277","1634","5","","5","0","23476","21850","526","42","2313"
"knevet-rhodon-and-iris","eng000096","","Knevet","0","Rhodon and Iris","","Comedy","https://texts.earlyprint.org/works/A04896.xml","","","","","1631","15","false","0.7442894142894142","0.5523809523809524","1.4761904761904763","eng000096-acanthus","7.733333333333333","3","","","","13","15","7","8","0","0","1","58","1631","25","","5","25","15639","13885","235","9","1748"
"kyd-soliman-and-perseda","eng000232","","Kyd","0","Soliman and Perseda","","Tragedy","https://texts.earlyprint.org/works/A12578.xml","","","","","1588","28","false","1","1","1","several characters","27","1","","","","27","28","2","23","3","1","1","378","1588","1","","1","0","18876","18502","583","2","2262"
"kyd-the-spanish-tragedy","eng000098","Q1115255","Kyd","0","The Spanish Tragedy","","Tragedy","https://texts.earlyprint.org/works/A04942.xml","","","","","1587","31","false","0.9417793813854797","0.8709677419354839","1.1290322580645162","several characters","26.129032258064516","2","","","","30","31","2","29","0","0","1","405","1587","4","14","4","0","22346","21172","732","24","2637"
