,numOfCoAuthors,title,normalizedGenre,yearNormalized,libretto,datePremiered,yearPremiered,yearPrinted,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numOfActs,numOfScenes,wordCountText,wordCountStage,wordCountSp
1109,1,"L'Amour à l'Anglaise, Comédie Vaudeville",,1803,False,,,1803,5,2,3,0,0,0,17,6043,211,5674
1110,1,Soliman,Tragedy,1653,False,,,1653,10,2,7,1,0,0,24,18632,9,18347
1111,0,Ubu Roi,,1888,False,,1888.0,1896,69,1,16,52,0,0,33,14198,929,13523
1112,0,Molière en Ménage,Comedy,1855,False,1855-11-11,1855.0,1856,16,1,8,7,0,1,18,7308,62,7126
1113,0,Cléopâtre Captive,Tragedy,1574,False,,,1574,11,1,6,4,0,0,7,10767,34,10552
1114,0,Didon se Sacrifiant,Tragedy,1574,False,,,1574,9,2,5,2,0,0,5,21773,0,21560
1115,0,L'Eugène,Comedy,1574,False,,,1574,10,2,7,1,0,1,20,12458,3,12159
1116,0,Molière,,1879,False,,,1879,2,2,0,0,0,0,1,555,26,490
1117,0,Adrienne Legouvreur,,1863,False,,,1863,1,0,0,1,0,0,1,1866,202,1811
1118,0,Cinq Mars et Richelieu,,1817,False,1817-09-16,1817.0,1863,2,0,1,1,0,0,1,1945,215,1851
1119,0,Fouquet à la Bastille,,1863,False,,,1863,1,0,0,1,0,0,1,1564,78,1510
1120,0,Molière,,1817,False,1817-09-16,1817.0,1863,3,1,1,1,0,0,3,2020,128,1882
1121,0,Salomon de Caus A Bicêtre,,1863,False,,,1863,1,0,0,1,0,0,1,900,59,816
1122,1,Les Bis,,1889,False,,,1889,6,0,6,0,0,0,5,698,48,585
1123,0,Les Bancs de la Promenade,,1889,False,,,1889,1,0,1,0,0,0,1,1208,0,1161
1124,1,Ah ! Mince !,,1884,False,,,1884,1,0,1,0,0,0,1,408,0,371
1125,0,La Soubrette de Molière,,1898,False,,,1898,1,1,0,0,0,1,1,933,47,857
1126,0,Les Acteurs Déplacés l'Amant Comedien,Comedy,1735,False,1735-10-14,1735.0,1737,24,9,9,6,0,2,25,10632,131,9671
1127,0,La Belle Esclave,Comedy,1643,False,,,1643,7,2,4,1,0,0,21,17513,33,15044
1128,0,L'Intrigue des Filous,Comedy,1648,False,,,1648,10,4,6,0,0,0,31,19500,255,17021
1129,0,Maître Galimathias pour le Grand Bal,,1626,True,,,1626,12,1,8,3,0,0,2,1497,4,1425
1130,0,La Bradamante,Tragicomedy,1636,False,,1636.0,1637,11,3,7,1,0,5,25,18157,139,17746
1131,0,Le Clarionte,Tragicomedy,1636,False,,1636.0,1637,15,3,8,4,0,5,22,19668,0,19276
1132,0,Le Comte d'Essex,Tragedy,1636,False,,1636.0,1654,13,4,5,4,0,5,27,17037,41,15593
1133,0,Edouard,Tragicomedy,1638,False,,1638.0,1640,9,1,4,4,0,5,18,18146,84,16032
1134,0,La Mort des Enfants d'Hérode,Tragedy,1636,False,,1636.0,1639,10,3,7,0,0,5,21,16934,22,14892
1135,0,Herménégilde,Tragedy,1643,False,,1643.0,1644,12,3,8,1,0,5,20,16177,0,15814
1136,0,Jeanne Reine d'Angleterre,Tragedy,1638,False,,1648.0,1638,16,4,6,6,0,5,23,15529,11,14876
1137,0,La Mort de Mitridate,Tragedy,1635,False,,1635.0,1637,10,4,6,0,0,5,21,18434,228,15578
1138,0,Phalante,Tragedy,1640,False,,1640.0,1642,10,3,6,1,0,5,24,15499,8,15183
1139,0,Zaïde,Tragedy,1681,False,1681-01-26,1681.0,1681,8,1,5,2,0,5,35,14127,0,13124
1140,0,La Guerre Comique,Comedy,1664,False,,,1664,9,2,6,1,0,1,6,11713,2,11021
1141,0,Achille,Tragedy,1683,False,,,1683,7,2,5,0,0,2,10,5560,19,5488
1142,0,Astrée,Tragedy,1691,True,1691-11-28,1691.0,1691,20,7,5,8,0,3,24,5947,97,5661
1143,0,Climène,Comedy,1671,False,,,1671,12,0,2,10,0,1,1,7121,0,6994
1144,0,Daphné,,1682,True,,,1682,50,8,15,26,0,5,33,8864,1591,7890
1145,0,L'Eunuque,Comedy,1654,False,,,1654,15,2,12,1,0,5,31,19964,17,18554
1146,0,Le Florentin,Comedy,1685,False,1685-07-23,1685.0,1685,7,3,4,0,0,1,15,5246,62,5092
1147,0,Galatée,,1682,True,,,1682,11,1,4,6,0,1,10,2644,6,2443
1148,0,Ragotin ou Le Roman Comique,Comedy,1684,False,,,1684,27,5,4,18,0,5,65,15767,100,14936
1149,0,Les Rieurs du Beau-Richard,,1659,True,,,1659,10,0,1,9,0,1,9,1790,213,1651
1150,0,La Joueuse Dupée,Comedy,1664,False,,1664.0,1664,9,1,7,1,0,1,7,7940,45,6353
1151,0,Manlius Capitolinus,Tragedy,1747,False,,,1747,8,2,6,0,0,5,34,13320,4,12979
1152,0,L'Ecole de la Raison,Comedy,1739,False,1739-05-20,1739.0,1739,10,3,1,6,0,1,14,13751,22,12500
1153,0,Le Comte de Warwik,Tragedy,1763,False,1763-11-07,1763.0,1764,8,3,4,1,0,5,31,14268,49,11711
1154,0,Mélanie ou La Religieuse,,1770,False,1792-12-07,1792.0,1770,5,1,2,2,0,3,20,12710,246,12488
1155,0,Molière A la Nouvelle Salle,Comedy,1782,False,1782-04-12,1782.0,1782,9,3,5,1,0,1,12,13464,250,9801
1156,0,Les Muses Rivales,Comedy,1779,False,1779-02-01,1779.0,1779,10,7,3,0,0,1,8,4912,72,4070
1157,0,Philoctète,Tragedy,1781,False,1783-06-16,1783.0,1781,5,0,4,1,0,3,13,16720,116,10584
1158,0,Alinde,Tragedy,1643,False,,,1643,12,4,6,2,0,0,44,18188,134,17675
1159,1,Amadis de Grèce,Tragedy,1699,False,1699-03-26,1699.0,1752,16,3,2,11,0,0,23,6376,667,5502
1160,1,Canente,Tragedy,1700,False,1700-11-04,1700.0,1752,24,5,5,14,0,0,25,6564,301,6230
1161,1,Le Carnaval et la Folie,Comedy,1703,True,1703-12-27,1703.0,1752,20,1,8,11,0,0,21,6581,373,5639
1162,0,Inès de Castro,Tragedy,1723,False,1723-04-06,1723.0,1723,9,3,4,2,0,5,34,11881,28,11524
1163,0,Les Machabées,Tragedy,1721,False,1721-03-06,1721.0,1722,9,3,6,0,0,5,29,13100,16,12918
1164,0,Le Magnifique,Comedy,1721,False,1721-03-06,1721.0,1752,9,2,5,2,0,2,16,7695,23,7517
1165,0,La Matrone d'Ephèse,Comedy,1702,False,1723-04-06,1723.0,1702,8,2,4,2,0,1,17,6050,70,5830
1166,1,Omphale,Tragedy,1701,False,1701-11-10,1701.0,1751,19,2,3,14,0,0,26,7957,345,7158
1167,0,Scanderberg,Tragedy,1735,True,1735-10-27,1735.0,1735,26,7,7,12,0,5,28,7219,152,5907
1168,0,Crispin Bel Esprit,Comedy,1682,False,,,1682,8,3,5,0,0,0,16,6292,28,6120
1169,0,Hercule,Tragedy,1681,False,1681-11-07,1681.0,1682,9,5,3,1,0,0,31,13916,9,13190
1170,0,Soliman,Tragedy,1680,False,1680-10-11,1680.0,1681,10,3,5,2,0,0,29,13210,6,12476
1171,0,La Messe de Gnide,Comedy,1795,False,,,1795,3,2,1,0,0,1,9,4908,490,4377
1172,0,Un Coup de Rasoir,Comedy,1881,False,,,1881,3,0,2,1,0,1,9,2059,312,1901
1173,1,Le Baron de Fourchevif,Comedy,1859,False,1859-06-15,1859.0,1859,7,1,2,4,0,0,20,8965,607,8693
1174,0,L'Avocat d'un Grec,Comedy,1859,False,1859-01-09,1859.0,1859,9,1,6,2,0,0,18,7116,555,6911
1175,1,La Cigale chez les Fourmis,Comedy,1876,False,1876-05-23,1876.0,1892,6,2,1,3,0,0,11,7994,248,7766
1176,1,Brûlons Voltaire !,Comedy,1874,False,1874-03-07,1874.0,1874,7,3,2,2,0,0,11,7670,427,7451
1177,1,Il Est de la Police,Comedy,1872,False,1872-05-07,1872.0,1872,7,2,2,3,0,0,18,8525,664,8179
1178,1,Les Deux Timides,Comedy,1860,False,1860-03-16,1860.0,1860,5,2,3,0,0,1,20,7549,815,7296
1179,1,Corneille et Rotrou,Tragedy,1845,False,1845-10-08,1845.0,1845,12,1,7,4,0,1,16,8872,442,8544
1180,1,La Querelle des Théâtres,,1710,False,1710-06-14,1710.0,1718,12,3,4,5,0,1,11,2426,341,2202
1181,0,Le Naufrage ou La Pompe Funèbre de Crispin,Comedy,1710,False,1710-06-14,1710.0,1710,10,3,5,2,0,1,15,5764,431,5113
1182,0,Les Trois Freres Rivaux,Comedy,1710,False,1710-02-04,1710.0,1710,9,2,2,5,0,1,15,7233,118,6658
1183,0,La Noce de Pierrot,Comedy,1927,False,,,1927,11,3,2,6,0,0,1,2135,1044,1819
1184,0,Nuit de Noces,Comedy,1927,False,,,1927,3,1,1,1,0,0,4,1842,704,1677
1185,1,Le Politicomane et le Nihiliste,,1821,False,,,1821,4,0,2,2,0,0,1,2511,0,2468
1186,0,Amasis,Tragedy,1701,False,1701-12-13,1701.0,1701,10,2,5,3,0,5,39,14306,23,13694
1187,0,Méléagre,Tragedy,1699,False,1999-01-28,1999.0,1699,8,6,2,0,0,4,37,14999,13,14322
1188,0,Oreste et Pylade,Tragedy,1697,False,1701-12-13,1701.0,1697,10,4,6,0,0,0,44,14939,0,14113
1189,0,Agis,Tragedy,1782,False,,,1782,12,2,3,7,0,5,28,12102,162,11693
1190,0,Une Collaboration,Comedy,1888,False,1888-01-15,1888.0,1888,6,1,2,3,0,0,11,5463,195,5228
1191,1,Janot le Finaud,,1894,False,,,1894,1,0,1,0,0,0,1,830,87,792
1192,0,Silvie,Tragedy,1741,False,1741-08-17,1741.0,1742,9,2,5,2,0,0,11,7770,197,7543
1193,0,L'Impatient,Comedy,1778,False,1778-09-03,1778.0,1779,7,1,5,1,0,1,35,6677,137,6419
1194,0,Léandre et Héro,Tragedy,1779,False,,,1779,9,1,2,6,0,1,8,1500,118,1347
1195,0,Le Français chez les Hurons,Comedy,1780,False,,,1780,10,2,3,5,0,0,10,6922,656,6350
1196,0,La Lettre Rose,,1883,False,,,1883,1,1,0,0,0,0,1,2015,210,1952
1197,0,Elomire Hypocondre,Comedy,1670,False,,,1670,36,6,18,12,0,6,19,21332,717,19834
1198,0,Didon,Tragedy,1734,False,1734-06-21,1734.0,1734,8,3,5,0,0,5,25,17062,158,13668
1199,0,Le Cibisme,,1689,False,,,1689,2,0,2,0,0,0,1,9156,0,9130
1200,0,Entretien de Scarron et de Molière,,1690,False,,,1690,2,0,2,0,0,0,1,4618,0,4595
1201,0,Le Réveil de Corneille,,1916,False,1916-05-08,1916.0,1916,3,2,0,1,0,0,1,3793,44,3309
1202,0,Don Juan ou Le Festin de Pierre,,1713,True,,1713.0,1713,10,4,4,2,0,3,11,1923,407,1638
1203,0,Le Grand Sélim ou Le Couronnement Tragique,Tragedy,1644,False,,1644.0,1645,11,2,6,3,0,5,24,18658,39,17336
1204,0,"Au Clair de la Lune Historiette en un Acte à l'Usage des Collèges, Petits-Séminaires, Sociétés de Persévérance, Etc. Prix : 75 Centimes.",Comedy,1858,False,,,1858,5,0,2,3,0,0,8,2734,133,2567
1205,0,L'Assemblée,Comedy,1773,False,1773-02-17,1773.0,1773,29,0,3,26,0,1,7,5957,186,5399
1206,0,Iphigénie,Tragedy,1675,False,,,1675,9,4,5,0,0,5,26,13488,2,12037
1207,0,La Folle,,1830,False,,,1830,16,4,3,9,0,1,13,6901,139,6654
1208,0,Attilie,Tragedy,1750,False,,1750.0,1776,7,2,5,0,0,5,38,16100,67,14870
1209,0,Autour d'un Berceau,Comedy,1875,False,1875-05-12,1875.0,1878,2,1,1,0,0,0,1,2880,405,2556
1210,0,Etéocle,Tragedy,1799,False,1799-10-19,1799.0,1799,7,2,5,0,0,5,23,12431,53,11532
1211,0,Laurence et Orzano,Tragedy,1784,False,,,1784,11,2,5,4,0,5,38,14774,84,14539
1212,0,Ma Fille et mon Bien,Comedy,1876,False,,,1876,8,2,3,3,0,0,12,8209,271,7971
1213,0,Polixène,Tragedy,1784,False,,,1784,7,2,5,0,0,5,24,11653,69,11502
1214,0,La Fleur de Tlemcen,Comedy,1876,False,,,1876,5,2,1,2,0,1,14,7627,334,7464
1215,0,Cartouche ou Les Voleurs,Comedy,1721,False,1721-10-11,1721.0,1770,23,2,14,7,0,3,41,10266,70,9674
1216,0,La Famille Extravagante,Comedy,1709,False,1709-06-07,1709.0,1770,9,5,4,0,0,1,30,7048,46,6768
1217,0,La Nouveauté,Comedy,1727,False,1727-01-13,1727.0,1727,26,4,10,12,0,1,14,7192,121,6841
1218,0,Plutus,Comedy,1720,False,1720-02-01,1720.0,1770,12,4,8,0,0,3,26,9713,11,9466
